title,publication_date,author,link,slug
30-Year-Old Startup Lessons You Can't Afford to Ignore [Founder Story],27/07/2024,Rui Lourenco,https://altar.io/30-year-startup-lessons-you-cant-afford-to-ignore/,30-year-startup-lessons-you-cant-afford-to-ignore
Has Generative AI Killed the Data Scientist?,12/04/2024,Vasco Ramalho,https://altar.io/has-generative-ai-killed-the-data-scientist/,has-generative-ai-killed-the-data-scientist
AI Building Blocks: The Ultimate Guide to Integrating AI into Your Business,22/04/2024,Rui Vas,https://altar.io/ai-building-blocks-business/,ai-building-blocks-business
4 Founders Share Why You Should Launch Your Startup in Portugal,08/05/2024,Jamie Russell-Curtis,https://altar.io/founders-share-why-you-should-launch-your-startup-in-portugal/,founders-share-why-you-should-launch-your-startup-in-portugal
"How To Use AI to Track Your Startup’s KPIs, Enhance Ops and Impress Investors",14/05/2024,Rui Vas,https://altar.io/use-ai-track-startup-kpis/,use-ai-track-startup-kpis
19 Entrepreneurs Share the Ups and Downs of Building Million-Dollar Startups,23/05/2024,Jamie Russell-Curtis,https://altar.io/entrepreneurs-share-how-they-built-million-dollar-startups/,entrepreneurs-share-how-they-built-million-dollar-startups
AI Agents: How Klarna replaced the work of 700 Humans in 1 Month,07/06/2024,Rui Vas,https://altar.io/ai-agents-for-startup/,ai-agents-for-startup
Apple Intelligence & Microsoft Copilot: How Startup Founders Must Adapt to a New Era of Computing,20/06/2024,Rui Vas,https://altar.io/apple-intelligence-vs-microsoft-copilot/,apple-intelligence-vs-microsoft-copilot
Raising over $2.5B in Startup Funding & Getting Acquired by AMEX [Founder Story],28/06/2024,Rui Lourenco,https://altar.io/raising-startup-funding-getting-acquired-by-amex-founder-story/,raising-startup-funding-getting-acquired-by-amex-founder-story
Product Development vs. Go-to-market: Where Should the Founder Focus The Most?,05/07/2024,Filipe Matos,https://altar.io/product-development-vs-go-to-market/,product-development-vs-go-to-market
How to Build a 1.8M Customer Base by Focusing on 1 Critical Problem [Founder Story],11/07/2024,Rui Lourenco,https://altar.io/how-to-build-a-strong-customer-base-founder-story/,how-to-build-a-strong-customer-base-founder-story
Against the Grain: How a Dorm Room Startup Achieved $30M in Funding [Founder Story],19/07/2024,Rui Lourenco,https://altar.io/against-the-grain-how-a-dorm-room-startup-achieved-30m-in-funding-founder-story/,against-the-grain-how-a-dorm-room-startup-achieved-30m-in-funding-founder-story
"Beyond the Hype: When Every Startup is an AI Startup, How Do You Stand Out?",02/08/2024,Vasco Ramalho,https://altar.io/beyond-the-ai-hype/,beyond-the-ai-hype
